orderid,productid,customerid,vendorid,sale_date,quantitysold,productsellingprice,totalsale,orderstatus,returndate,productname,category,subcategory,customername,customeremail,shippingaddress,billingaddress,vendorname,vendorphone,vendorrating
32356,8,354,8,2023-03-13,5,5,25,placed,,Celery,Vegetable,Stem,Brandon Bell,hunter88@hotmail.com,437 Lauren Falls Suite 112 Rodriguezport AK 56234,437 Lauren Falls Suite 112 Rodriguezport AK 56234,Solid Stem inc,123.000.8888,2.1
86379,14,179,7,2023-05-14,14,9,126,placed,,garlic,Vegetable,Allium,Brandon Bell,hunter88@hotmail.com,437 Lauren Falls Suite 112 Rodriguezport AK 56234,437 Lauren Falls Suite 112 Rodriguezport AK 56234,Allium helium pte ltd,123.456.6666,3.6
10271,8,347,3,2022-05-05,9,3,27,returned,2023-09-23,Dove,Groceries,Soap,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,United Soap company,234.456.1234,3.9
50230,20,402,10,2023-05-06,3,10,30,shipped,,Spinech,Vegetable,Leafy,Bob Smith,bob.smith@email.com,45 Oak Ave. Somecity,45 Oak Ave. Somecity,Green World,123.111.7890,1.1
59176,3,363,12,2023-03-13,6,3,18,placed,,Iodized for Health,Groceries,Salt,Brandon Bell,hunter88@hotmail.com,437 Lauren Falls Suite 112 Rodriguezport AK 56234,437 Lauren Falls Suite 112 Rodriguezport AK 56234,Salt Company X,123.456.7890,4.9
74130,10,489,14,2022-01-19,14,6,84,placed,,garlic,Vegetable,Allium,David Spencer,jonathan76@santos.com,631 Hines Drive Kirstenburgh ND 19567,631 Hines Drive Kirstenburgh ND 19567,Allium helium pte ltd,123.456.6666,3.6
89844,17,486,2,2023-04-19,5,9,45,returned,2023-08-09,Celery,Vegetable,Stem,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,Solid Stem inc,123.000.8888,2.1
97443,10,498,8,2022-08-18,4,3,12,shipped,,Potato,Vegetable,Root,Jamie Martinez,scottchristina@hotmail.com,7115 Smith Plains Apt. 692 West Danielchester FL 1234,7115 Smith Plains Apt. 692 West Danielchester FL 1234,Ground Corporations,555.456.7890,4.1
90520,6,350,10,2022-11-26,4,3,12,shipped,,Methi,Vegetable,Leafy,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Green World,123.111.7890,1.1
93902,8,472,12,2022-03-20,14,7,98,shipped,,garlic,Vegetable,Allium,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,Allium helium pte ltd,123.456.6666,3.6
76854,15,365,6,2022-05-17,111,6,666,returned,2023-12-17,StrawBerries,Fruits,Berries,Jamie Martinez,scottchristina@hotmail.com,7115 Smith Plains Apt. 692 West Danielchester FL 1234,7115 Smith Plains Apt. 692 West Danielchester FL 1234,Mr Berry Straw,123.555.3333,3.5
34580,3,327,6,2022-12-04,3,1,3,placed,,Spinech,Vegetable,Leafy,Jamie Martinez,scottchristina@hotmail.com,7115 Smith Plains Apt. 692 West Danielchester FL 1234,7115 Smith Plains Apt. 692 West Danielchester FL 1234,Green World,123.111.7890,1.1
67544,14,276,9,2022-08-10,7,3,21,shipped,,Onion,Vegetable,Root,Brandon Bell,hunter88@hotmail.com,437 Lauren Falls Suite 112 Rodriguezport AK 56234,437 Lauren Falls Suite 112 Rodriguezport AK 56234,Ground Corporations,555.456.7890,4.1
51425,1,275,10,2022-09-22,22,8,176,shipped,,Colgate,Groceries,Toothpaste,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Best Toothpaste pvt ltd,333.456.7890,3.4
61239,10,416,13,2023-01-11,8,2,16,placed,,Pears,Groceries,Soap,Gerald Brown,hudsonmadison@yahoo.com,59013 Gutierrez Lake Jenniferport NE 28083,59013 Gutierrez Lake Jenniferport NE 28083,United Soap company,234.456.1234,3.9
11711,12,209,11,2022-10-20,5,2,10,returned,2023-03-21,Celery,Vegetable,Stem,Gerald Brown,hudsonmadison@yahoo.com,59013 Gutierrez Lake Jenniferport NE 28083,59013 Gutierrez Lake Jenniferport NE 28083,Solid Stem inc,123.000.8888,2.1
53913,5,433,3,2022-04-19,7,5,35,shipped,,Onion,Vegetable,Root,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Ground Corporations,555.456.7890,4.1
95130,3,280,12,2023-08-16,9,6,54,returned,2023-10-08,Dove,Groceries,Soap,David Spencer,jonathan76@santos.com,631 Hines Drive Kirstenburgh ND 19567,631 Hines Drive Kirstenburgh ND 19567,United Soap company,234.456.1234,3.9
94893,13,473,6,2023-01-30,5,2,10,placed,,Celery,Vegetable,Stem,Gerald Brown,hudsonmadison@yahoo.com,59013 Gutierrez Lake Jenniferport NE 28083,59013 Gutierrez Lake Jenniferport NE 28083,Solid Stem inc,123.000.8888,2.1
33295,1,240,8,2022-03-24,3,3,9,placed,,Asparagus,Vegetable,Stem,Jamie Martinez,scottchristina@hotmail.com,7115 Smith Plains Apt. 692 West Danielchester FL 1234,7115 Smith Plains Apt. 692 West Danielchester FL 1234,Solid Stem inc,123.000.8888,2.1
38581,19,345,15,2023-05-05,165,7,1155,returned,2023-12-03,Cashew,Fruits,Nuts,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Hard Nut Unlimited,123.456.3333,4.5
41043,20,172,15,2022-02-05,136,9,1224,placed,,Almond,Fruits,Nuts,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Hard Nut Unlimited,123.456.3333,4.5
71128,12,152,8,2023-06-29,3,8,24,returned,2023-11-30,Spinech,Vegetable,Leafy,Gerald Brown,hudsonmadison@yahoo.com,59013 Gutierrez Lake Jenniferport NE 28083,59013 Gutierrez Lake Jenniferport NE 28083,Green World,123.111.7890,1.1
79908,10,418,11,2022-01-06,43,6,258,returned,2023-10-04,Mandarin,Fruits,Citrus,Jamie Martinez,scottchristina@hotmail.com,7115 Smith Plains Apt. 692 West Danielchester FL 1234,7115 Smith Plains Apt. 692 West Danielchester FL 1234,Health fruits,123.456.3333,4.6
30859,17,469,6,2023-12-30,3,8,24,placed,,Spinech,Vegetable,Leafy,Brandon Bell,hunter88@hotmail.com,437 Lauren Falls Suite 112 Rodriguezport AK 56234,437 Lauren Falls Suite 112 Rodriguezport AK 56234,Green World,123.111.7890,1.1
18364,14,292,7,2023-08-17,42,9,378,returned,2023-12-08,Orange,Fruits,Citrus,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,Health fruits,123.456.3333,4.6
30546,19,335,3,2022-04-26,4,1,4,placed,,Potato,Vegetable,Root,Bob Smith,bob.smith@email.com,45 Oak Ave. Somecity,45 Oak Ave. Somecity,Ground Corporations,555.456.7890,4.1
38721,17,178,13,2022-12-11,6,1,6,shipped,,Cinthol,Groceries,Soap,Jamie Martinez,scottchristina@hotmail.com,7115 Smith Plains Apt. 692 West Danielchester FL 1234,7115 Smith Plains Apt. 692 West Danielchester FL 1234,United Soap company,234.456.1234,3.9
46295,10,308,13,2023-03-26,5,1,5,placed,,Celery,Vegetable,Stem,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,Solid Stem inc,123.000.8888,2.1
19812,1,482,2,2022-03-10,43,6,258,returned,2023-02-22,Mandarin,Fruits,Citrus,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,Health fruits,123.456.3333,4.6
14234,19,340,9,2023-08-16,3,8,24,returned,2023-10-31,Spinech,Vegetable,Leafy,Bob Smith,bob.smith@email.com,45 Oak Ave. Somecity,45 Oak Ave. Somecity,Green World,123.111.7890,1.1
39327,20,243,7,2023-09-25,5,4,20,returned,2023-09-25,Lux,Groceries,Soap,David Spencer,jonathan76@santos.com,631 Hines Drive Kirstenburgh ND 19567,631 Hines Drive Kirstenburgh ND 19567,United Soap company,234.456.1234,3.9
53909,7,287,1,2022-10-02,13,3,39,returned,2023-05-27,shallot,Vegetable,Allium,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Allium helium pte ltd,123.456.6666,3.6
80337,15,145,15,2023-01-30,123,3,369,shipped,,BlueBerries,Fruits,Berries,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Mr Berry Straw,123.555.3333,3.5
83861,6,337,9,2023-12-19,321,4,1284,placed,,RaspBerries,Fruits,Berries,Brandon Bell,hunter88@hotmail.com,437 Lauren Falls Suite 112 Rodriguezport AK 56234,437 Lauren Falls Suite 112 Rodriguezport AK 56234,Mr Berry Straw,123.555.3333,3.5
61882,2,488,15,2023-12-12,111,4,444,shipped,,StrawBerries,Fruits,Berries,Gerald Brown,hudsonmadison@yahoo.com,59013 Gutierrez Lake Jenniferport NE 28083,59013 Gutierrez Lake Jenniferport NE 28083,Mr Berry Straw,123.555.3333,3.5
80677,13,253,3,2023-10-30,9,2,18,shipped,,Yummy Rock Salt,Groceries,Salt,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Salt Company X,123.456.7890,4.9
91340,19,303,13,2022-06-07,42,4,168,shipped,,Orange,Fruits,Citrus,Bob Smith,bob.smith@email.com,45 Oak Ave. Somecity,45 Oak Ave. Somecity,Health fruits,123.456.3333,4.6
90932,2,346,9,2022-03-20,58,4,232,placed,,Crest,Groceries,Toothpaste,Jamie Martinez,scottchristina@hotmail.com,7115 Smith Plains Apt. 692 West Danielchester FL 1234,7115 Smith Plains Apt. 692 West Danielchester FL 1234,Best Toothpaste pvt ltd,333.456.7890,3.4
75559,8,408,10,2023-02-19,5,6,30,shipped,,Celery,Vegetable,Stem,Bob Smith,bob.smith@email.com,45 Oak Ave. Somecity,45 Oak Ave. Somecity,Solid Stem inc,123.000.8888,2.1
22557,4,423,10,2023-10-15,42,3,126,shipped,,DaburLal,Groceries,Toothpaste,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Best Toothpaste pvt ltd,333.456.7890,3.4
13669,9,287,6,2022-09-25,22,2,44,shipped,,Colgate,Groceries,Toothpaste,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,Best Toothpaste pvt ltd,333.456.7890,3.4
74008,17,267,9,2023-07-24,321,5,1605,placed,,RaspBerries,Fruits,Berries,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,Mr Berry Straw,123.555.3333,3.5
88789,8,293,14,2022-07-08,22,10,220,returned,2023-12-07,Colgate,Groceries,Toothpaste,Brandon Bell,hunter88@hotmail.com,437 Lauren Falls Suite 112 Rodriguezport AK 56234,437 Lauren Falls Suite 112 Rodriguezport AK 56234,Best Toothpaste pvt ltd,333.456.7890,3.4
82161,10,189,8,2023-11-01,6,4,24,shipped,,Iodized for Health,Groceries,Salt,Gerald Brown,hudsonmadison@yahoo.com,59013 Gutierrez Lake Jenniferport NE 28083,59013 Gutierrez Lake Jenniferport NE 28083,Salt Company X,123.456.7890,4.9
47991,1,348,8,2023-12-20,9,9,81,returned,2023-12-30,Dove,Groceries,Soap,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,United Soap company,234.456.1234,3.9
28852,3,229,10,2022-06-04,5,1,5,shipped,,Celery,Vegetable,Stem,Brandon Bell,hunter88@hotmail.com,437 Lauren Falls Suite 112 Rodriguezport AK 56234,437 Lauren Falls Suite 112 Rodriguezport AK 56234,Solid Stem inc,123.000.8888,2.1
14491,20,221,7,2022-10-30,42,4,168,shipped,,Orange,Fruits,Citrus,Bob Smith,bob.smith@email.com,45 Oak Ave. Somecity,45 Oak Ave. Somecity,Health fruits,123.456.3333,4.6
15898,15,288,9,2022-11-15,3,2,6,shipped,,Spinech,Vegetable,Leafy,Jamie Martinez,scottchristina@hotmail.com,7115 Smith Plains Apt. 692 West Danielchester FL 1234,7115 Smith Plains Apt. 692 West Danielchester FL 1234,Green World,123.111.7890,1.1
78655,10,406,4,2022-06-28,4,5,20,placed,,Potato,Vegetable,Root,Brandon Bell,hunter88@hotmail.com,437 Lauren Falls Suite 112 Rodriguezport AK 56234,437 Lauren Falls Suite 112 Rodriguezport AK 56234,Ground Corporations,555.456.7890,4.1
43093,19,228,9,2022-10-25,3,10,30,shipped,,Asparagus,Vegetable,Stem,Jamie Martinez,scottchristina@hotmail.com,7115 Smith Plains Apt. 692 West Danielchester FL 1234,7115 Smith Plains Apt. 692 West Danielchester FL 1234,Solid Stem inc,123.000.8888,2.1
90858,4,375,5,2023-05-30,42,9,378,returned,2023-10-04,DaburLal,Groceries,Toothpaste,Bob Smith,bob.smith@email.com,45 Oak Ave. Somecity,45 Oak Ave. Somecity,Best Toothpaste pvt ltd,333.456.7890,3.4
76126,14,266,8,2022-05-01,3,9,27,placed,,Spinech,Vegetable,Leafy,David Spencer,jonathan76@santos.com,631 Hines Drive Kirstenburgh ND 19567,631 Hines Drive Kirstenburgh ND 19567,Green World,123.111.7890,1.1
59728,19,143,15,2023-03-13,111,4,444,returned,2023-10-10,StrawBerries,Fruits,Berries,Brandon Bell,hunter88@hotmail.com,437 Lauren Falls Suite 112 Rodriguezport AK 56234,437 Lauren Falls Suite 112 Rodriguezport AK 56234,Mr Berry Straw,123.555.3333,3.5
14987,1,166,11,2023-10-04,321,2,642,shipped,,RaspBerries,Fruits,Berries,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Mr Berry Straw,123.555.3333,3.5
88620,6,139,11,2022-09-23,13,10,130,returned,2023-07-22,shallot,Vegetable,Allium,Gerald Brown,hudsonmadison@yahoo.com,59013 Gutierrez Lake Jenniferport NE 28083,59013 Gutierrez Lake Jenniferport NE 28083,Allium helium pte ltd,123.456.6666,3.6
62900,15,356,7,2023-07-21,3,7,21,placed,,Spinech,Vegetable,Leafy,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Green World,123.111.7890,1.1
45259,5,449,12,2022-10-16,11,10,110,returned,2023-07-13,Horlics,Groceries,Biscuits,David Spencer,jonathan76@santos.com,631 Hines Drive Kirstenburgh ND 19567,631 Hines Drive Kirstenburgh ND 19567,Yummy Biscuits Co,444.456.7890,4.3
88607,12,277,3,2022-04-21,42,3,126,returned,2023-07-04,Orange,Fruits,Citrus,Bob Smith,bob.smith@email.com,45 Oak Ave. Somecity,45 Oak Ave. Somecity,Health fruits,123.456.3333,4.6
53614,14,124,1,2022-11-16,123,6,738,placed,,BlueBerries,Fruits,Berries,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,Mr Berry Straw,123.555.3333,3.5
63091,8,117,9,2022-02-06,43,1,43,shipped,,Mandarin,Fruits,Citrus,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Health fruits,123.456.3333,4.6
40190,4,119,4,2023-12-03,11,10,110,placed,,lime,Fruits,Citrus,Brandon Bell,hunter88@hotmail.com,437 Lauren Falls Suite 112 Rodriguezport AK 56234,437 Lauren Falls Suite 112 Rodriguezport AK 56234,Health fruits,123.456.3333,4.6
81329,2,312,6,2022-10-24,15,7,105,returned,2023-11-04,Free Flow Pizza,Groceries,Salt,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Salt Company X,123.456.7890,4.9
13769,14,470,10,2022-06-03,120,5,600,shipped,,Apricot,Fruits,Nuts,David Spencer,jonathan76@santos.com,631 Hines Drive Kirstenburgh ND 19567,631 Hines Drive Kirstenburgh ND 19567,Hard Nut Unlimited,123.456.3333,4.5
58785,6,136,7,2023-04-21,321,8,2568,shipped,,RaspBerries,Fruits,Berries,Brandon Bell,hunter88@hotmail.com,437 Lauren Falls Suite 112 Rodriguezport AK 56234,437 Lauren Falls Suite 112 Rodriguezport AK 56234,Mr Berry Straw,123.555.3333,3.5
74701,18,335,2,2022-02-04,14,9,126,placed,,garlic,Vegetable,Allium,Bob Smith,bob.smith@email.com,45 Oak Ave. Somecity,45 Oak Ave. Somecity,Allium helium pte ltd,123.456.6666,3.6
47776,6,172,9,2023-01-07,4,7,28,placed,,Methi,Vegetable,Leafy,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Green World,123.111.7890,1.1
98557,17,155,1,2023-07-09,120,8,960,returned,2023-07-12,Apricot,Fruits,Nuts,Brandon Bell,hunter88@hotmail.com,437 Lauren Falls Suite 112 Rodriguezport AK 56234,437 Lauren Falls Suite 112 Rodriguezport AK 56234,Hard Nut Unlimited,123.456.3333,4.5
86053,6,478,9,2022-08-03,33,6,198,shipped,,Pepsudent,Groceries,Toothpaste,Brandon Bell,hunter88@hotmail.com,437 Lauren Falls Suite 112 Rodriguezport AK 56234,437 Lauren Falls Suite 112 Rodriguezport AK 56234,Best Toothpaste pvt ltd,333.456.7890,3.4
96834,5,263,15,2023-05-02,3,1,3,placed,,Spinech,Vegetable,Leafy,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Green World,123.111.7890,1.1
42706,15,286,15,2023-02-15,4,7,28,placed,,Potato,Vegetable,Root,Jamie Martinez,scottchristina@hotmail.com,7115 Smith Plains Apt. 692 West Danielchester FL 1234,7115 Smith Plains Apt. 692 West Danielchester FL 1234,Ground Corporations,555.456.7890,4.1
90235,4,367,7,2022-06-27,6,9,54,placed,,Iodized for Health,Groceries,Salt,Bob Smith,bob.smith@email.com,45 Oak Ave. Somecity,45 Oak Ave. Somecity,Salt Company X,123.456.7890,4.9
91215,5,280,15,2023-12-12,3,10,30,returned,2023-12-12,Spinech,Vegetable,Leafy,Brandon Bell,hunter88@hotmail.com,437 Lauren Falls Suite 112 Rodriguezport AK 56234,437 Lauren Falls Suite 112 Rodriguezport AK 56234,Green World,123.111.7890,1.1
97062,8,187,9,2023-12-25,42,10,420,placed,,Orange,Fruits,Citrus,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,Health fruits,123.456.3333,4.6
16568,5,100,10,2022-09-30,42,8,336,placed,,Orange,Fruits,Citrus,Brandon Bell,hunter88@hotmail.com,437 Lauren Falls Suite 112 Rodriguezport AK 56234,437 Lauren Falls Suite 112 Rodriguezport AK 56234,Health fruits,123.456.3333,4.6
99512,15,482,3,2022-05-25,7,1,7,shipped,,50-50,Groceries,Biscuits,Brandon Bell,hunter88@hotmail.com,437 Lauren Falls Suite 112 Rodriguezport AK 56234,437 Lauren Falls Suite 112 Rodriguezport AK 56234,Yummy Biscuits Co,444.456.7890,4.3
44419,19,320,5,2023-11-24,5,9,45,placed,,Celery,Vegetable,Stem,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Solid Stem inc,123.000.8888,2.1
52740,8,482,3,2022-06-30,9,7,63,placed,,Yummy Rock Salt,Groceries,Salt,David Spencer,jonathan76@santos.com,631 Hines Drive Kirstenburgh ND 19567,631 Hines Drive Kirstenburgh ND 19567,Salt Company X,123.456.7890,4.9
91629,7,365,13,2023-01-09,14,6,84,shipped,,garlic,Vegetable,Allium,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,Allium helium pte ltd,123.456.6666,3.6
50840,18,459,15,2022-06-01,123,6,738,placed,,BlueBerries,Fruits,Berries,Jamie Martinez,scottchristina@hotmail.com,7115 Smith Plains Apt. 692 West Danielchester FL 1234,7115 Smith Plains Apt. 692 West Danielchester FL 1234,Mr Berry Straw,123.555.3333,3.5
14051,18,192,7,2023-05-03,6,4,24,returned,2023-12-02,Iodized for Health,Groceries,Salt,Bob Smith,bob.smith@email.com,45 Oak Ave. Somecity,45 Oak Ave. Somecity,Salt Company X,123.456.7890,4.9
63484,7,350,7,2023-04-01,3,8,24,returned,2023-12-03,Asparagus,Vegetable,Stem,Bob Smith,bob.smith@email.com,45 Oak Ave. Somecity,45 Oak Ave. Somecity,Solid Stem inc,123.000.8888,2.1
57566,9,276,2,2022-06-14,11,1,11,placed,,lime,Fruits,Citrus,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,Health fruits,123.456.3333,4.6
15796,14,226,5,2023-07-04,9,9,81,returned,2023-11-19,Yummy Rock Salt,Groceries,Salt,Jamie Martinez,scottchristina@hotmail.com,7115 Smith Plains Apt. 692 West Danielchester FL 1234,7115 Smith Plains Apt. 692 West Danielchester FL 1234,Salt Company X,123.456.7890,4.9
64709,14,136,7,2022-12-14,165,8,1320,returned,2023-10-20,Cashew,Fruits,Nuts,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Hard Nut Unlimited,123.456.3333,4.5
23929,17,132,6,2023-03-18,321,6,1926,placed,,RaspBerries,Fruits,Berries,Gerald Brown,hudsonmadison@yahoo.com,59013 Gutierrez Lake Jenniferport NE 28083,59013 Gutierrez Lake Jenniferport NE 28083,Mr Berry Straw,123.555.3333,3.5
83299,18,167,8,2022-03-01,6,3,18,returned,2023-09-10,Iodized for Health,Groceries,Salt,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,Salt Company X,123.456.7890,4.9
67047,9,172,13,2022-01-21,5,5,25,shipped,,Celery,Vegetable,Stem,Jamie Martinez,scottchristina@hotmail.com,7115 Smith Plains Apt. 692 West Danielchester FL 1234,7115 Smith Plains Apt. 692 West Danielchester FL 1234,Solid Stem inc,123.000.8888,2.1
21230,15,449,14,2022-11-13,4,6,24,returned,2023-08-28,Methi,Vegetable,Leafy,Jane Doe,jane.doe@email.com,123 Main St. Anytown,123 Main St. Anytown,Green World,123.111.7890,1.1
17577,10,449,7,2022-09-15,13,6,78,shipped,,shallot,Vegetable,Allium,David Spencer,jonathan76@santos.com,631 Hines Drive Kirstenburgh ND 19567,631 Hines Drive Kirstenburgh ND 19567,Allium helium pte ltd,123.456.6666,3.6
90474,12,361,11,2022-05-09,43,4,172,shipped,,Mandarin,Fruits,Citrus,Gerald Brown,hudsonmadison@yahoo.com,59013 Gutierrez Lake Jenniferport NE 28083,59013 Gutierrez Lake Jenniferport NE 28083,Health fruits,123.456.3333,4.6
16848,2,265,6,2022-05-27,4,9,36,returned,2022-06-28,Potato,Vegetable,Root,Bob Smith,bob.smith@email.com,45 Oak Ave. Somecity,45 Oak Ave. Somecity,Ground Corporations,555.456.7890,4.1
71717,10,439,6,2022-01-30,7,6,42,shipped,,Onion,Vegetable,Root,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,Ground Corporations,555.456.7890,4.1
86900,20,288,12,2023-01-23,7,7,49,shipped,,Onion,Vegetable,Root,David Spencer,jonathan76@santos.com,631 Hines Drive Kirstenburgh ND 19567,631 Hines Drive Kirstenburgh ND 19567,Ground Corporations,555.456.7890,4.1
70797,4,478,3,2022-02-08,3,4,12,returned,2023-09-24,Asparagus,Vegetable,Stem,David Spencer,jonathan76@santos.com,631 Hines Drive Kirstenburgh ND 19567,631 Hines Drive Kirstenburgh ND 19567,Solid Stem inc,123.000.8888,2.1
59461,2,272,8,2022-12-21,4,1,4,shipped,,Potato,Vegetable,Root,James Knight,dbrown@hotmail.com,91572 Joyce Fort New Ryan AR 18441,91572 Joyce Fort New Ryan AR 18441,Ground Corporations,555.456.7890,4.1
